DTM,HZB,IDiga,AREA,Q,R,P,T,ET_mmday
2001-01-01,207290,1003,12623,26.9,0.18412104887903036,0.00363518594531342,-7.181403577327728,0.1100309044122696
2001-01-01,207308,1004,24137.8,66.9,0.23946507138181616,0.0032343104830943,-7.720584511756897,0.1098819300532341
2001-01-02,207290,1003,12623,24.9,0.1704317515646043,0.09742634429130705,-3.726650774478912,0.06368725001811981
2001-01-02,207308,1004,24137.8,58,0.2076079841576283,0.16551890666596591,-3.3490597009658813,0.07096400856971741
2001-01-03,207290,1003,12623,22.7,0.15537352451873565,2.163624675828032,-1.672566371038556,0.06991180777549744
2001-01-03,207308,1004,24137.8,44.4,0.15892749132066716,2.0620226674946025,-1.710135653614998,0.06318145245313644
2001-01-04,207290,1003,12623,24.9,0.1704317515646043,0.6511411208193749,-1.5396622121334076,0.07169750332832336
2001-01-04,207308,1004,24137.8,49.7,0.17789856573507115,0.7229929133900441,-1.1363023668527603,0.07097040861845016
2001-01-05,207290,1003,12623,27,0.18480551374475165,1.0380036661517806,1.4980738908052444,0.07402140647172928
2001-01-05,207308,1004,24137.8,63.9,0.2287267273736629,1.0429159017512577,1.6911787390708923,0.07515367120504379
2001-01-06,207290,1003,12623,27.7,0.18959676780480075,1.1720097586512566,2.7897472381591797,0.09614613652229308
2001-01-06,207308,1004,24137.8,64.5,0.2308743961752935,1.300115181133151,3.390779733657837,0.08661268651485443
2001-01-07,207290,1003,12623,26.7,0.18275211914758777,1.9849214516580105,2.5108001232147217,0.08369484543800354
2001-01-07,207308,1004,24137.8,90.7,0.32465593384649805,1.8682705089449885,2.9985427856445312,0.07617271691560745
2001-01-08,207290,1003,12623,25.4,0.17385407589321084,10.708583235740662,1.6131819039583206,0.04707147553563118
2001-01-08,207308,1004,24137.8,120,0.4295337603261275,13.465656280517578,2.1441115736961365,0.04399820789694786
2001-01-09,207290,1003,12623,33.3,0.2279268002851937,0.6773593377438374,0.891071155667305,0.1370118409395218
2001-01-09,207308,1004,24137.8,191,0.6836745685190863,1.6505859419703484,0.9861250817775726,0.1330971121788025
2001-01-10,207290,1003,12623,35.6,0.24366949219678363,0.1712151873507537,-1.5730262640863657,0.13587255775928497
2001-01-10,207308,1004,24137.8,250,0.8948620006794323,0.11973918043076992,-0.9956103563308716,0.1262843906879425
2001-01-11,207290,1003,12623,34.2,0.23408698407668543,1.8790679980011191,-0.6162728825584054,0.12810465693473816
2001-01-11,207308,1004,24137.8,212,0.7588429765761585,1.6295066086458974,-0.5923898816108704,0.12863020598888397
2001-01-12,207290,1003,12623,35.3,0.24161609759961972,0.00363101199036464,-3.3602855801582336,0.1737307608127594
2001-01-12,207308,1004,24137.8,161,0.5762911284375545,0.01742927706800401,-3.914818584918976,0.1846040636301041
2001-01-13,207290,1003,12623,35,0.23956270300245583,0.0038184139993973,-5.310431241989136,0.14791348576545715
2001-01-13,207308,1004,24137.8,132,0.4724871363587403,0.02099585009273141,-4.809156775474548,0.15384754538536072
2001-01-14,207290,1003,12623,36.8,0.25188307058543924,0.0032274248660542,-7.065228581428528,0.16315622627735138
2001-01-14,207308,1004,24137.8,116,0.4152159683152566,0.00566457601962611,-6.271243572235107,0.1607765257358551
2001-01-15,207290,1003,12623,39.4,0.26967915709419316,0.0031198515498545,-6.475100159645081,0.16629445552825928
2001-01-15,207308,1004,24137.8,102,0.3651036962772084,0.00370034744264557,-5.881219506263733,0.16494959592819214
2001-01-16,207290,1003,12623,33.5,0.2292957300166363,0.00972854904830455,-6.699864029884338,0.1806293427944183
2001-01-16,207308,1004,24137.8,81.6,0.2920829570217667,0.00651084329001605,-6.802766919136047,0.1806308627128601
2001-01-17,207290,1003,12623,27.5,0.18822783807335816,0.1369007769972086,-3.9944353103637695,0.14374570548534393
2001-01-17,207308,1004,24137.8,84.3,0.30174746662910457,0.12765035964548588,-3.810002982616425,0.15777774155139923
2001-01-18,207290,1003,12623,21.4,0.14647548126435872,0.45147975720465183,-2.105549782514572,0.16070446372032166
2001-01-18,207308,1004,24137.8,70.7,0.25306697379214343,0.2808515876531601,-1.7166049182415009,0.17856958508491516
2001-01-19,207290,1003,12623,19.7,0.13483957854709658,0.110664046369493,-1.9034273326396944,0.17365144193172455
2001-01-19,207308,1004,24137.8,69.2,0.24769780178806688,0.07746708672493696,-1.873439222574234,0.2036181390285492
2001-01-20,207290,1003,12623,19.1,0.13073278935276875,0.175830390304327,-1.456234872341156,0.1400774121284485
2001-01-20,207308,1004,24137.8,73.6,0.2634473730000248,0.12028623884543777,-1.1094689220190048,0.15876516699790957
2001-01-21,207290,1003,12623,21.3,0.1457910163986374,0.8509810157120228,-2.2773764729499817,0.13818158209323883
2001-01-21,207308,1004,24137.8,65.5,0.23445384417801127,0.5209821667522192,-2.032455652952194,0.14795587956905365
2001-01-22,207290,1003,12623,23.6,0.1615337083102274,1.6146557261818089,-2.955689489841461,0.16367174685001373
2001-01-22,207308,1004,24137.8,64.6,0.23123234097556525,1.6087156203575432,-2.689547449350357,0.1815853863954544
2001-01-23,207290,1003,12623,22.9,0.15674245425017824,1.6208810433745384,-2.655592620372772,0.10550606995821
2001-01-23,207308,1004,24137.8,63.9,0.2287267273736629,1.427716314792633,-2.2605753242969513,0.10741586238145828
2001-01-24,207290,1003,12623,23.1,0.15811138398162086,3.225594274699688,-1.1473359763622284,0.09298161417245863
2001-01-24,207308,1004,24137.8,63.2,0.2262211137717605,3.1883911192417145,-0.8088714480400085,0.10941176116466522
